areaType,areaName,areaCode,date,hospitalCases
nation,England,E92000001,2020-04-06,17154
nation,England,E92000001,2020-04-05,16657
nation,England,E92000001,2020-04-04,15469
nation,England,E92000001,2020-04-03,13635
nation,England,E92000001,2020-04-02,12135
nation,England,E92000001,2020-04-01,12059
nation,England,E92000001,2020-03-31,11154
nation,England,E92000001,2020-03-30,9852
nation,England,E92000001,2020-03-29,8424
nation,England,E92000001,2020-03-28,7269
nation,England,E92000001,2020-03-27,6462
nation,England,E92000001,2020-03-26,5226
nation,England,E92000001,2020-03-25,4402
nation,England,E92000001,2020-03-24,3598
nation,England,E92000001,2020-03-23,3183
nation,England,E92000001,2020-03-22,2670
nation,England,E92000001,2020-03-21,2152
nation,England,E92000001,2020-03-20,1580
nation,Northern Ireland,N92000002,2021-03-28,129
nation,Northern Ireland,N92000002,2021-03-27,133
nation,Northern Ireland,N92000002,2021-03-26,134
nation,Northern Ireland,N92000002,2021-03-25,148
nation,Northern Ireland,N92000002,2021-03-24,163
nation,Northern Ireland,N92000002,2021-03-23,168
nation,Northern Ireland,N92000002,2021-03-22,170
nation,Northern Ireland,N92000002,2021-03-21,184
nation,Northern Ireland,N92000002,2021-03-20,184
nation,Northern Ireland,N92000002,2021-03-19,186
nation,Northern Ireland,N92000002,2021-03-18,195
nation,Northern Ireland,N92000002,2021-03-17,203
nation,Northern Ireland,N92000002,2021-03-16,198
nation,Northern Ireland,N92000002,2021-03-15,205
nation,Northern Ireland,N92000002,2021-03-14,215
nation,Northern Ireland,N92000002,2021-03-13,217
nation,Northern Ireland,N92000002,2021-03-12,212
nation,Northern Ireland,N92000002,2021-03-11,215
nation,Northern Ireland,N92000002,2021-03-10,220
nation,Northern Ireland,N92000002,2021-03-09,245
nation,Northern Ireland,N92000002,2021-03-08,262
nation,Northern Ireland,N92000002,2021-03-07,262
nation,Northern Ireland,N92000002,2021-03-06,258
nation,Northern Ireland,N92000002,2021-03-05,259
nation,Northern Ireland,N92000002,2021-03-04,280
nation,Northern Ireland,N92000002,2021-03-03,290
nation,Northern Ireland,N92000002,2021-03-02,313
nation,Northern Ireland,N92000002,2021-03-01,337
nation,Northern Ireland,N92000002,2021-02-28,344
nation,Northern Ireland,N92000002,2021-02-27,348
nation,Northern Ireland,N92000002,2021-02-26,351
nation,Northern Ireland,N92000002,2021-02-25,378
nation,Northern Ireland,N92000002,2021-02-24,392
nation,Northern Ireland,N92000002,2021-02-23,414
nation,Northern Ireland,N92000002,2021-02-22,430
nation,Northern Ireland,N92000002,2021-02-21,447
nation,Northern Ireland,N92000002,2021-02-20,451
nation,Northern Ireland,N92000002,2021-02-19,450
nation,Northern Ireland,N92000002,2021-02-18,464
nation,Northern Ireland,N92000002,2021-02-17,475
nation,Northern Ireland,N92000002,2021-02-16,493
nation,Northern Ireland,N92000002,2021-02-15,524
nation,Northern Ireland,N92000002,2021-02-14,530
nation,Northern Ireland,N92000002,2021-02-13,525
nation,Northern Ireland,N92000002,2021-02-12,526
nation,Northern Ireland,N92000002,2021-02-11,558
nation,Northern Ireland,N92000002,2021-02-10,582
nation,Northern Ireland,N92000002,2021-02-09,610
nation,Northern Ireland,N92000002,2021-02-08,637
nation,Northern Ireland,N92000002,2021-02-07,675
nation,Northern Ireland,N92000002,2021-02-06,673
nation,Northern Ireland,N92000002,2021-02-05,679
nation,Northern Ireland,N92000002,2021-02-04,724
nation,Northern Ireland,N92000002,2021-02-03,769
nation,Northern Ireland,N92000002,2021-02-02,799
nation,Northern Ireland,N92000002,2021-02-01,827
nation,Northern Ireland,N92000002,2021-01-31,856
nation,Northern Ireland,N92000002,2021-01-30,850
nation,Northern Ireland,N92000002,2021-01-29,845
nation,Northern Ireland,N92000002,2021-01-28,870
nation,Northern Ireland,N92000002,2021-01-27,904
nation,Northern Ireland,N92000002,2021-01-26,941
nation,Northern Ireland,N92000002,2021-01-25,967
nation,Northern Ireland,N92000002,2021-01-24,993
nation,Northern Ireland,N92000002,2021-01-23,969
nation,Northern Ireland,N92000002,2021-01-22,965
nation,Northern Ireland,N92000002,2021-01-21,984
nation,Northern Ireland,N92000002,2021-01-20,979
nation,Northern Ireland,N92000002,2021-01-19,996
nation,Northern Ireland,N92000002,2021-01-18,1023
nation,Northern Ireland,N92000002,2021-01-17,1040
nation,Northern Ireland,N92000002,2021-01-16,1032
nation,Northern Ireland,N92000002,2021-01-15,1011
nation,Northern Ireland,N92000002,2021-01-14,1041
nation,Northern Ireland,N92000002,2021-01-13,1052
nation,Northern Ireland,N92000002,2021-01-12,1050
nation,Northern Ireland,N92000002,2021-01-11,1044
nation,Northern Ireland,N92000002,2021-01-10,1048
nation,Northern Ireland,N92000002,2021-01-09,995
nation,Northern Ireland,N92000002,2021-01-08,962
nation,Northern Ireland,N92000002,2021-01-07,925
nation,Northern Ireland,N92000002,2021-01-06,916
nation,Northern Ireland,N92000002,2021-01-05,903
nation,Northern Ireland,N92000002,2021-01-04,896
nation,Northern Ireland,N92000002,2021-01-03,887
nation,Northern Ireland,N92000002,2021-01-02,849
nation,Northern Ireland,N92000002,2021-01-01,822
nation,Northern Ireland,N92000002,2020-12-31,790
nation,Northern Ireland,N92000002,2020-12-30,798
nation,Northern Ireland,N92000002,2020-12-29,774
nation,Northern Ireland,N92000002,2020-12-28,737
nation,Northern Ireland,N92000002,2020-12-27,710
nation,Northern Ireland,N92000002,2020-12-26,677
nation,Northern Ireland,N92000002,2020-12-25,645
nation,Northern Ireland,N92000002,2020-12-24,628
nation,Northern Ireland,N92000002,2020-12-23,641
nation,Northern Ireland,N92000002,2020-12-22,650
