Date,Number of Bicycle Hires
11/10/2012,25324
12/10/2012,31694
13/10/2012,26289
14/10/2012,25440
15/10/2012,30558
16/10/2012,33253
17/10/2012,30285
18/10/2012,32566
19/10/2012,21001
20/10/2012,25411
21/10/2012,15563
22/10/2012,27294
23/10/2012,31996
24/10/2012,33882
25/10/2012,29515
26/10/2012,26404
27/10/2012,17144
28/10/2012,15305
29/10/2012,24276
30/10/2012,30325
31/10/2012,29241
01/11/2012,26888
02/11/2012,28748
03/11/2012,21498
04/11/2012,11693
05/11/2012,27666
06/11/2012,27038
07/11/2012,29537
08/11/2012,29895
09/11/2012,29349
10/11/2012,18018
11/11/2012,20971
12/11/2012,23680
13/11/2012,30511
14/11/2012,31453
15/11/2012,30165
16/11/2012,28143
17/11/2012,20325
18/11/2012,21664
19/11/2012,28127
20/11/2012,25921
21/11/2012,20554
22/11/2012,27783
23/11/2012,27973
24/11/2012,8902
25/11/2012,16894
26/11/2012,20656
27/11/2012,20388
28/11/2012,21403
29/11/2012,26212
30/11/2012,24838
01/12/2012,16068
02/12/2012,15227
03/12/2012,23592
04/12/2012,26144
05/12/2012,23111
06/12/2012,22645
07/12/2012,20140
08/12/2012,17805
09/12/2012,14147
10/12/2012,23937
11/12/2012,23531
12/12/2012,22344
13/12/2012,21704
14/12/2012,17085
15/12/2012,16962
16/12/2012,14128
17/12/2012,22899
18/12/2012,23651
19/12/2012,16828
20/12/2012,12401
21/12/2012,20395
22/12/2012,5644
23/12/2012,9184
24/12/2012,7985
25/12/2012,16816
26/12/2012,10405
27/12/2012,9013
28/12/2012,10947
29/12/2012,8498
30/12/2012,11343
31/12/2012,8865
01/01/2013,12149
02/01/2013,16203
03/01/2013,21269
04/01/2013,22435
05/01/2013,16242
06/01/2013,13622
07/01/2013,23348
08/01/2013,25909
09/01/2013,25341
10/01/2013,24363
11/01/2013,23869
12/01/2013,13562
13/01/2013,12260
14/01/2013,17427
15/01/2013,22797
16/01/2013,22460
17/01/2013,22210
18/01/2013,13108
19/01/2013,7843
20/01/2013,3728
21/01/2013,13467
22/01/2013,18061
23/01/2013,19404
24/01/2013,20721
25/01/2013,20178
26/01/2013,14595
27/01/2013,13689
28/01/2013,18689
29/01/2013,21268
30/01/2013,23415
31/01/2013,21957
01/02/2013,18081
02/02/2013,15757
03/02/2013,13572
04/02/2013,23017
05/02/2013,21177
06/02/2013,20664
07/02/2013,20852
08/02/2013,20571
09/02/2013,11274
10/02/2013,4901
11/02/2013,13468
12/02/2013,20342
13/02/2013,21051
14/02/2013,21034
15/02/2013,22952
16/02/2013,19072
17/02/2013,19044
18/02/2013,22724
19/02/2013,24525
20/02/2013,20938
21/02/2013,19757
22/02/2013,18313
23/02/2013,11234
24/02/2013,9404
25/02/2013,19800
26/02/2013,19595
