Date,Month Key,Month,Quarter,Year,Day Of Week Key,Day Of Week,Day Of Month,Year Quarter,Year Month,Year Month Key
2018-04-23,4,Apr,Q2,2018,2,Mon,23,2018-Q2,2018-Apr,201804
2018-04-24,4,Apr,Q2,2018,3,Tue,24,2018-Q2,2018-Apr,201804
2018-04-25,4,Apr,Q2,2018,4,Wed,25,2018-Q2,2018-Apr,201804
2018-04-26,4,Apr,Q2,2018,5,Thu,26,2018-Q2,2018-Apr,201804
2018-04-27,4,Apr,Q2,2018,6,Fri,27,2018-Q2,2018-Apr,201804
2018-04-28,4,Apr,Q2,2018,7,Sat,28,2018-Q2,2018-Apr,201804
2018-04-29,4,Apr,Q2,2018,1,Sun,29,2018-Q2,2018-Apr,201804
2018-04-30,4,Apr,Q2,2018,2,Mon,30,2018-Q2,2018-Apr,201804
2018-05-01,5,May,Q2,2018,3,Tue,1,2018-Q2,2018-May,201805
2018-05-02,5,May,Q2,2018,4,Wed,2,2018-Q2,2018-May,201805
2018-05-03,5,May,Q2,2018,5,Thu,3,2018-Q2,2018-May,201805
2018-05-04,5,May,Q2,2018,6,Fri,4,2018-Q2,2018-May,201805
2018-05-05,5,May,Q2,2018,7,Sat,5,2018-Q2,2018-May,201805
2018-05-06,5,May,Q2,2018,1,Sun,6,2018-Q2,2018-May,201805
2018-05-07,5,May,Q2,2018,2,Mon,7,2018-Q2,2018-May,201805
2018-05-08,5,May,Q2,2018,3,Tue,8,2018-Q2,2018-May,201805
2018-05-09,5,May,Q2,2018,4,Wed,9,2018-Q2,2018-May,201805
2018-05-10,5,May,Q2,2018,5,Thu,10,2018-Q2,2018-May,201805
2018-05-11,5,May,Q2,2018,6,Fri,11,2018-Q2,2018-May,201805
2018-05-12,5,May,Q2,2018,7,Sat,12,2018-Q2,2018-May,201805
2018-05-13,5,May,Q2,2018,1,Sun,13,2018-Q2,2018-May,201805
2018-05-14,5,May,Q2,2018,2,Mon,14,2018-Q2,2018-May,201805
2018-05-15,5,May,Q2,2018,3,Tue,15,2018-Q2,2018-May,201805
2018-05-16,5,May,Q2,2018,4,Wed,16,2018-Q2,2018-May,201805
2018-05-17,5,May,Q2,2018,5,Thu,17,2018-Q2,2018-May,201805
2018-05-18,5,May,Q2,2018,6,Fri,18,2018-Q2,2018-May,201805
2018-05-19,5,May,Q2,2018,7,Sat,19,2018-Q2,2018-May,201805
2018-05-20,5,May,Q2,2018,1,Sun,20,2018-Q2,2018-May,201805
2018-05-21,5,May,Q2,2018,2,Mon,21,2018-Q2,2018-May,201805
2018-05-22,5,May,Q2,2018,3,Tue,22,2018-Q2,2018-May,201805
2018-05-23,5,May,Q2,2018,4,Wed,23,2018-Q2,2018-May,201805
2018-05-24,5,May,Q2,2018,5,Thu,24,2018-Q2,2018-May,201805
2018-05-25,5,May,Q2,2018,6,Fri,25,2018-Q2,2018-May,201805
2018-05-26,5,May,Q2,2018,7,Sat,26,2018-Q2,2018-May,201805
2018-05-27,5,May,Q2,2018,1,Sun,27,2018-Q2,2018-May,201805
2018-05-28,5,May,Q2,2018,2,Mon,28,2018-Q2,2018-May,201805
2018-05-29,5,May,Q2,2018,3,Tue,29,2018-Q2,2018-May,201805
2018-05-30,5,May,Q2,2018,4,Wed,30,2018-Q2,2018-May,201805
2018-05-31,5,May,Q2,2018,5,Thu,31,2018-Q2,2018-May,201805
2018-06-01,6,Jun,Q2,2018,6,Fri,1,2018-Q2,2018-Jun,201806
2018-06-02,6,Jun,Q2,2018,7,Sat,2,2018-Q2,2018-Jun,201806
2018-06-03,6,Jun,Q2,2018,1,Sun,3,2018-Q2,2018-Jun,201806
2018-06-04,6,Jun,Q2,2018,2,Mon,4,2018-Q2,2018-Jun,201806
2018-06-05,6,Jun,Q2,2018,3,Tue,5,2018-Q2,2018-Jun,201806
2018-06-06,6,Jun,Q2,2018,4,Wed,6,2018-Q2,2018-Jun,201806
2018-06-07,6,Jun,Q2,2018,5,Thu,7,2018-Q2,2018-Jun,201806
2018-06-08,6,Jun,Q2,2018,6,Fri,8,2018-Q2,2018-Jun,201806
2018-06-09,6,Jun,Q2,2018,7,Sat,9,2018-Q2,2018-Jun,201806
2018-06-10,6,Jun,Q2,2018,1,Sun,10,2018-Q2,2018-Jun,201806
2018-06-11,6,Jun,Q2,2018,2,Mon,11,2018-Q2,2018-Jun,201806
2018-06-12,6,Jun,Q2,2018,3,Tue,12,2018-Q2,2018-Jun,201806
2018-06-13,6,Jun,Q2,2018,4,Wed,13,2018-Q2,2018-Jun,201806
2018-06-14,6,Jun,Q2,2018,5,Thu,14,2018-Q2,2018-Jun,201806
2018-06-15,6,Jun,Q2,2018,6,Fri,15,2018-Q2,2018-Jun,201806
2018-06-16,6,Jun,Q2,2018,7,Sat,16,2018-Q2,2018-Jun,201806
2018-06-17,6,Jun,Q2,2018,1,Sun,17,2018-Q2,2018-Jun,201806
2018-06-18,6,Jun,Q2,2018,2,Mon,18,2018-Q2,2018-Jun,201806
2018-06-19,6,Jun,Q2,2018,3,Tue,19,2018-Q2,2018-Jun,201806
2018-06-20,6,Jun,Q2,2018,4,Wed,20,2018-Q2,2018-Jun,201806
2018-06-21,6,Jun,Q2,2018,5,Thu,21,2018-Q2,2018-Jun,201806
2018-06-22,6,Jun,Q2,2018,6,Fri,22,2018-Q2,2018-Jun,201806
2018-06-23,6,Jun,Q2,2018,7,Sat,23,2018-Q2,2018-Jun,201806
2018-06-24,6,Jun,Q2,2018,1,Sun,24,2018-Q2,2018-Jun,201806
2018-06-25,6,Jun,Q2,2018,2,Mon,25,2018-Q2,2018-Jun,201806
2018-06-26,6,Jun,Q2,2018,3,Tue,26,2018-Q2,2018-Jun,201806
2018-06-27,6,Jun,Q2,2018,4,Wed,27,2018-Q2,2018-Jun,201806
2018-06-28,6,Jun,Q2,2018,5,Thu,28,2018-Q2,2018-Jun,201806
2018-06-29,6,Jun,Q2,2018,6,Fri,29,2018-Q2,2018-Jun,201806
2018-06-30,6,Jun,Q2,2018,7,Sat,30,2018-Q2,2018-Jun,201806
2018-07-01,7,Jul,Q3,2018,1,Sun,1,2018-Q3,2018-Jul,201807
2018-07-02,7,Jul,Q3,2018,2,Mon,2,2018-Q3,2018-Jul,201807
2018-07-03,7,Jul,Q3,2018,3,Tue,3,2018-Q3,2018-Jul,201807
2018-07-04,7,Jul,Q3,2018,4,Wed,4,2018-Q3,2018-Jul,201807
2018-07-05,7,Jul,Q3,2018,5,Thu,5,2018-Q3,2018-Jul,201807
2018-07-06,7,Jul,Q3,2018,6,Fri,6,2018-Q3,2018-Jul,201807
2018-07-07,7,Jul,Q3,2018,7,Sat,7,2018-Q3,2018-Jul,201807
2018-07-08,7,Jul,Q3,2018,1,Sun,8,2018-Q3,2018-Jul,201807
2018-07-09,7,Jul,Q3,2018,2,Mon,9,2018-Q3,2018-Jul,201807
2018-07-10,7,Jul,Q3,2018,3,Tue,10,2018-Q3,2018-Jul,201807
2018-07-11,7,Jul,Q3,2018,4,Wed,11,2018-Q3,2018-Jul,201807
2018-07-12,7,Jul,Q3,2018,5,Thu,12,2018-Q3,2018-Jul,201807
2018-07-13,7,Jul,Q3,2018,6,Fri,13,2018-Q3,2018-Jul,201807
2018-07-14,7,Jul,Q3,2018,7,Sat,14,2018-Q3,2018-Jul,201807
2018-07-15,7,Jul,Q3,2018,1,Sun,15,2018-Q3,2018-Jul,201807
2018-07-16,7,Jul,Q3,2018,2,Mon,16,2018-Q3,2018-Jul,201807
2018-07-17,7,Jul,Q3,2018,3,Tue,17,2018-Q3,2018-Jul,201807
2018-07-18,7,Jul,Q3,2018,4,Wed,18,2018-Q3,2018-Jul,201807
2018-07-19,7,Jul,Q3,2018,5,Thu,19,2018-Q3,2018-Jul,201807
