Period and Financial year,Reporting Period,Days in period,Period beginning,Period ending,Bus journeys (m),Underground journeys (m),DLR Journeys (m),Tram Journeys (m),Overground Journeys (m),Emirates Airline Journeys (m),TfL Rail Journeys (m),,,,,,,
05_16/17,5,28,24-Jul-16,20-Aug-16,155.3,101.1,9.0,1.8,13.7,0.18,3.6,,,,,,,
06_16/17,6,28,21-Aug-16,17-Sep-16,166.3,98.8,8.8,2.2,14.2,0.14,3.5,,,,,,,
07_16/17,7,28,18-Sep-16,15-Oct-16,186.9,110.4,9.6,2.5,15.2,0.10,3.7,,,,,,,
08_16/17,8,28,16-Oct-16,12-Nov-16,176.6,112.6,10.1,2.2,15.4,0.12,3.8,,,,,,,
09_16/17,9,28,13-Nov-16,10-Dec-16,182.7,116.7,10.1,2.1,15.7,0.08,4.0,,,,,,,
10_16/17,10,28,11-Dec-16,07-Jan-17,145.8,89.0,7.6,2.1,12.0,0.09,3.3,,,,,,,
11_16/17,11,28,08-Jan-17,04-Feb-17,174.4,101.9,9.6,2.4,14.8,0.08,3.8,,,,,,,
12_16/17,12,28,05-Feb-17,04-Mar-17,172.9,108.3,9.7,2.2,14.6,0.11,3.6,,,,,,,
13_16/17,13,27,05-Mar-17,31-Mar-17,178.4,106.0,9.5,2.4,15.1,0.07,3.4,,,,,,,
01_17/18,1,29,01-Apr-17,29-Apr-17,172.6,104.6,9.7,2.1,14.7,0.16,3.3,,,,,,,
02_17/18,2,28,30-Apr-17,27-May-17,182.3,106.1,9.4,2.3,14.8,0.11,3.5,,,,,,,
03_17/18,3,28,28-May-17,24-Jun-17,175.8,101.6,9.2,2.2,14.4,0.11,3.4,,,,,,,
04_17/18,4,28,25-Jun-17,22-Jul-17,181.5,109.0,9.6,2.4,15.0,0.13,3.7,,,,,,,
05_17/18,5,28,23-Jul-17,19-Aug-17,155.1,101.0,9.2,2.1,14.4,0.18,3.5,,,,,,,
06_17/18,6,28,20-Aug-17,16-Sep-17,166.0,96.4,8.6,2.2,14.5,0.12,3.3,,,,,,,
07_17/18,7,28,17-Sep-17,14-Oct-17,186.9,108.6,9.6,2.5,15.6,0.10,3.8,,,,,,,
08_17/18,8,28,15-Oct-17,11-Nov-17,178.1,110.6,9.9,2.3,15.4,0.11,3.7,,,,,,,
09_17/18,9,28,12-Nov-17,09-Dec-17,183.8,115.1,9.8,2.4,15.5,0.08,3.9,,,,,,,
10_17/18,10,28,10-Dec-17,06-Jan-18,145.1,87.7,7.4,1.9,11.6,0.06,2.9,,,,,,,
11_17/18,11,28,07-Jan-18,03-Feb-18,175.2,105.5,9.3,2.2,14.8,0.07,3.7,,,,,,,
12_17/18,12,28,04-Feb-18,03-Mar-18,168.7,105.3,9.3,2.2,14.1,0.09,3.4,,,,,,,
13_17/18,13,28,04-Mar-18,31-Mar-18,176.5,105.3,8.7,2.2,15.1,0.06,3.3,,,,,,,
01_18/19,1,28,01-Apr-18,28-Apr-18,165.9,103.5,9.4,1.9,14.7,0.12,3.5,,,,,,,
02_18/19,2,28,29-Apr-18,26-May-18,179.6,105.6,9.7,2.3,14.4,0.11,3.7,,,,,,,
03_18/19,3,28,27-May-18,23-Jun-18,173.9,104.4,9.2,2.3,14.3,0.11,4.2,,,,,,,
04_18/19,4,28,24-Jun-18,21-Jul-18,177.8,109.0,9.6,2.4,14.8,0.12,4.5,,,,,,,
05_18/19,5,28,22-Jul-18,18-Aug-18,151.5,100.4,9.0,2.1,14.0,0.16,4.1,,,,,,,
06_18/19,6,28,19-Aug-18,15-Sep-18,162.1,97.5,8.6,2.2,14.1,0.12,4.1,,,,,,,
07_18/19,7,28,16-Sep-18,13-Oct-18,183.7,109.9,9.6,2.4,15.8,0.09,4.7,,,,,,,
08_18/19,8,28,14-Oct-18,10-Nov-18,175.2,112.7,10.1,2.3,15.6,0.12,4.7,,,,,,,
09_18/19,9,28,11-Nov-18,08-Dec-18,180.5,118.2,9.9,2.4,15.6,0.07,4.6,,,,,,,
10_18/19,10,28,09-Dec-18,05-Jan-19,144.9,91.9,7.5,1.9,11.6,0.09,3.9,,,,,,,
11_18/19,11,28,06-Jan-19,02-Feb-19,171.3,106.7,9.3,2.2,14.5,0.06,4.6,,,,,,,
12_18/19,12,28,03-Feb-19,02-Mar-19,171.3,110.8,9.7,2.2,14.4,0.10,4.4,,,,,,,
13_18/19,13,29,03-Mar-19,31-Mar-19,182.7,114.1,10.0,2.2,15.7,0.06,4.3,,,,,,,
01_19/20,1,28,01-Apr-19,27-Apr-19,156.6,101.2,8.9,2.0,13.9,0.11,4.3,,,,,,,
02_19/20,2,28,28-Apr-19,25-May-19,175.2,106.1,9.7,2.2,14.2,0.10,4.5,,,,,,,
03_19/20,3,28,26-May-19,22-Jun-19,171.4,108.0,9.3,2.2,13.8,0.11,4.4,,,,,,,
04_19/20,4,28,23-Jun-19,20-Jul-19,177.0,111.7,9.6,2.3,14.8,0.11,4.6,,,,,,,
05_19/20,5,28,21-Jul-19,17-Aug-19,149.8,103.0,9.1,2.0,12.9,0.14,4.3,,,,,,,
06_19/20,6,28,18-Aug-19,14-Sep-19,159.8,99.4,8.7,1.6,13.5,0.13,4.3,,,,,,,
07_19/20,7,28,15-Sep-19,12-Oct-19,179.3,112.2,9.5,2.3,17.8,0.09,4.9,,,,,,,
08_19/20,8,28,13-Oct-19,09-Nov-19,168.9,113.3,10.0,2.2,17.1,0.10,4.9,,,,,,,
09_19/20,9,28,10-Nov-19,07-Dec-19,176.2,117.5,9.8,2.3,15.8,0.08,5.0,,,,,,,
10_19/20,10,28,08-Dec-19,04-Jan-20,141.0,91.2,7.5,1.9,10.6,0.09,4.3,,,,,,,
11_19/20,11,28,05-Jan-20,01-Feb-20,169.4,105.8,9.2,2.3,14.1,0.06,5.7,,,,,,,
12_19/20,12,28,02-Feb-20,29-Feb-20,165.2,106.2,9.3,2.2,15.6,0.06,5.2,,,,,,,
13_19/20,13,29,01-Mar-20,31-Mar-20,126.4,60.9,6.1,1.6,13.0,0.01,3.5,,,,,,,
01_20/21,1,28,01-Apr-20,02-May-20,30.2,5.7,1.2,0.4,1.0,0.00,0.6,,,,,,,
02_20/21,2,28,03-May-20,30-May-20,32.5,6.7,1.4,0.5,1.5,0.00,0.7,,,,,,,
03_20/21,3,28,31-May-20,27-Jun-20,47.0,13.3,2.1,0.7,2.8,0.02,1.2,,,,,,,
04_20/21,4,28,28-Jun-20,25-Jul-20,66.7,22.2,2.9,1.0,4.5,0.03,1.6,,,,,,,
05_20/21,5,28,26-Jul-20,22-Aug-20,75.2,28.8,3.6,1.0,5.1,0.06,2.0,,,,,,,
06_20/21,6,28,23-Aug-20,19-Sep-20,94.8,36.3,4.2,1.2,6.6,0.06,2.2,,,,,,,
07_20/21,7,28,20-Sep-20,17-Oct-20,102.0,39.5,4.5,1.4,8.5,0.04,2.5,,,,,,,
08_20/21,8,28,18-Oct-20,14-Nov-20,88.9,33.7,4.1,1.0,7.1,0.03,2.1,,,,,,,
09_20/21,9,28,15-Nov-20,12-Dec-20,89.0,32.1,4.0,1.1,6.6,0.02,2.1,,,,,,,
10_20/21,10,28,13-Dec-20,09-Jan-21,57.5,18.8,2.7,0.7,3.2,0.03,1.2,,,,,,,
11_20/21,11,28,10-Jan-21,06-Feb-21,51.6,16.8,2.7,0.7,3.5,0.02,1.2,,,,,,,
12_20/21,12,28,07-Feb-21,06-Mar-21,56.9,19.8,3.1,0.8,4.4,0.05,1.4,,,,,,,
13_20/21,13,29,07-Mar-21,31-Mar-21,72.9,22.4,3.3,1.0,4.8,0.06,1.5,,,,,,,
01_21/22,1,31,01-Apr-21,01-May-21,95.9,37.4,4.9,1.3,8.6,0.15,2.1,,,,,,,
02_21/22,2,28,02-May-21,29-May-21,104.3,42.5,5.0,1.5,7.7,0.06,2.3,,,,,,,
03_21/22,3,28,30-May-21,26-Jun-21,107.0,48.6,5.6,1.5,7.8,0.11,2.7,,,,,,,
04_21/22,4,28,27-Jun-21,24-Jul-21,109.1,49.6,5.4,1.5,10.1,0.10,2.8,,,,,,,
05_21/22,5,28,25-Jul-21,21-Aug-21,98.8,51.6,5.5,1.3,8.6,0.19,2.8,,,,,,,
06_21/22,6,28,22-Aug-21,18-Sep-21,115.5,58.2,5.9,1.2,10.6,0.16,3.1,,,,,,,
07_21/22,7,28,19-Sep-21,16-Oct-21,130.2,69.7,7.1,1.7,12.5,0.10,3.7,,,,,,,
08_21/22,8,28,17-Oct-21,13-Nov-21,125.4,73.7,7.2,1.7,11.6,0.12,3.7,,,,,,,
09_21/22,9,28,14-Nov-21,11-Dec-21,131.3,75.8,7.0,1.6,12.2,0.07,3.3,,,,,,,
10_21/22,10,28,12-Dec-21,08-Jan-22,95.1,45.4,4.6,1.2,6.7,0.09,2.4,,,,,,,
11_21/22,11,28,09-Jan-22,05-Feb-22,123.5,60.2,5.9,1.6,10.0,0.06,3.2,,,,,,,
12_21/22,12,28,06-Feb-22,05-Mar-22,127.8,65.4,6.5,1.4,10.7,0.08,3.1,,,,,,,
13_21/22,13,26,06-Mar-22,31-Mar-22,126.7,70.4,6.6,1.5,13.8,0.07,3.1,,,,,,,
01_22/23,1,30,01-Apr-22,30-Apr-22,134.6,79.2,7.1,1.6,14.3,0.13,4.4,,,,,,,
02_22/23,2,28,01-May-22,28-May-22,140.0,80.1,7.6,1.8,12.5,0.12,5.5,,,,,,,
03_22/23,3,28,29-May-22,25-Jun-22,137.6,71.7,6.7,1.7,10.2,0.15,8.1,,,,,,,
04_22/23,4,28,26-Jun-22,23-Jul-22,137.1,81.3,6.5,1.5,14.9,0.13,11.6,,,,,,,
05_22/23,5,28,24-Jul-22,20-Aug-22,122.0,73.9,6.4,1.5,10.2,0.19,9.2,,,,,,,
06_22/23,6,28,21-Aug-22,17-Sep-22,132.1,79.6,6.5,1.5,13.2,0.15,9.8,,,,,,,
07_22/23,7,28,18-Sep-22,15-Oct-22,,,,,,,,,,,,,,
08_22/23,8,28,16-Oct-22,12-Nov-22,,,,,,,,,,,,,,
09_22/23,9,28,13-Nov-22,10-Dec-22,,,,,,,,,,,,,,
10_22/23,10,28,11-Dec-22,07-Jan-23,,,,,,,,,,,,,,
11_22/23,11,28,08-Jan-23,04-Feb-23,,,,,,,,,,,,,,
12_22/23,12,28,05-Feb-23,04-Mar-23,,,,,,,,,,,,,,
13_22/23,13,27,05-Mar-23,31-Mar-23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
